line_lab	rest_wave	EWr_fit	EWr_fit_u	EW_signi	f_redcor	f_line_u
OI1304	1304.8576	<-0.2605	-	-	<1.112e-16	-
OI1306	1306.0286	<-0.2581	-	-	<1.099e-16	-
SiII1309	1309.2757	-0.6197	0.221	7.189	7.092e-16	3.961e-18
CII1335a	1334.577	<-0.1543	-	-	<6.175e-17	-
CII1335b	1335.663	<-0.1568	-	-	<6.271e-17	-
CII1335c	1335.708	<-0.1568	-	-	<6.271e-17	-
SiII1533	1533.4312	-0.354	0.0767	10.578	2.628e-16	1.326e-18
OIII]1660	1660.809	-0.1543	0.1077	5.343	9.552e-17	1.821e-18
OIII]1666	1666.15	-0.5165	0.1104	16.829	3.169e-16	1.860e-18
NIII]1750	1749.7	-0.3255	0.0737	12.829	1.771e-16	1.205e-18
SiIII1882	1882.707	-0.3272	0.0763	12.142999999999999	1.459e-16	1.165e-18
SiIII1892	1892.029	-0.4326	0.0941	15.505	1.902e-16	1.430e-18
CIII]1906	1906.68	-0.773	0.0694	26.974	3.327e-16	1.045e-18
CIII]1908	1908.73	-1.2043	0.083	41.098	5.161e-16	1.248e-18
NII]2140	2139.68	<-0.1024	-	-	<1.114e-17	-
OII2470mid	2471.027	-0.9861	0.101	25.175	1.824e-16	1.028e-18
FeII2599	2599.1465	<-0.106	-	-	<5.943e-18	-
FeII2607	2607.8664	<-0.1685	-	-	<9.317e-18	-
FeII2612	2612.6542	-0.7261	0.1575	16.052	1.079e-16	1.423e-18
FeII2614	2614.6051	<-0.1437	-	-	<7.886e-18	-
FeII2618	2618.3991	<-0.1368	-	-	<7.473e-18	-
FeII2621	2621.1912	<-0.1333	-	-	<7.270e-18	-
FeII2622	2622.4518	<-0.155	-	-	<8.424e-18	-
FeII2626	2626.4511	-0.9243	0.1522	19.904	1.354e-16	1.368e-18
FeII2629	2629.0777	<-0.1355	-	-	<7.317e-18	-
FeII2631	2631.8321	<-0.1238	-	-	<6.659e-18	-
FeII2632	2632.1081	-0.2193	0.7872	5.376	3.188e-17	7.049e-18
MgII2797b	2798.755	-0.9733	0.1061	21.695999999999998	1.255e-16	9.412e-19
MgII2797d	2803.531	-0.3532	0.0819	8.867	4.597e-17	7.348e-19
