#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-B	CII1334	3606.8404	1334.5323	ISM	1.8349	0.6588	2.8205	0.4674	-3.0527e-17	1.0961e-17	-7.7344e-18	9.4327e-18	2.4163	0.5187	1.0	-1.2917	3606.798	0.4183	1.5317	1.7027	0.0003	10.6124927704	2.78505610802
rcs0327-B	CII1335b	3611.0985	1335.663	FINESTR	-0.0	0.9023	1.6339	0.4548	1.8253e-29	1.4852e-17	-7.7344e-18	9.4327e-18	0.81996	-0.5347	1.0	0.0	3611.379	3.45733342858e+11	1.5283	1.7038	258847735.438	0.0	1.22899272825e-12
rcs0327-B	CII1335c	3611.2201	1335.708	EMISSION	-0.1078	0.5228	1.5771	0.4549	1.7748e-18	8.6058e-18	-7.7344e-18	9.4327e-18	1.0081	-0.5347	1.0	0.2248	3611.5006	1.2959	0.5172	1.7038	0.001	0.60482513559	0.206233005647
rcs0327-B	NIV]1486	4018.9014	1486.5	EMISSION	-0.5103	0.5409	-0.7113	0.4151	6.7691e-18	7.1749e-18	-1.5801e-18	3.7064e-18	2.2526	-0.4704	1.0	0.3225	4018.5892	1.3727	1.7067	1.7034	0.0009	3.25446428571	0.943441720442
rcs0327-B	SiII1533	4145.7846	1533.4312	FINESTR	-0.751	0.2628	-0.5116	0.3337	9.2727e-18	3.2451e-18	-6.8899e-18	1.367e-17	1.1823	-0.3907	1.0	1.3277	4145.4626	0.1607	0.6101	1.7034	0.0001	5.76657281802	2.85744661181
rcs0327-B	HeII1640	4435.0314	1640.417	EMISSION	-1.1969	0.4123	-2.0829	0.3209	1.3293e-17	4.5796e-18	2.5149e-18	7.1948e-18	1.498	-0.3399	1.0	0.6854	4435.3759	0.4936	1.8834	1.7038	0.0003	10.5639894086	2.90265525373
rcs0327-B	OIII]1660	4490.1632	1660.809	EMISSION	-0.4283	0.4127	-0.3462	0.3166	4.633e-18	4.4643e-18	-2.6472e-18	6.5827e-18	1.106	-0.3584	1.0	0.2423	4490.3649	1.4001	1.9068	1.7037	0.0008	3.58510044643	1.03778867908
rcs0327-B	OIII1666	4504.6031	1666.15	EMISSION	-0.4354	0.3256	-0.3753	0.3212	4.675e-18	3.496e-18	-1.2498e-19	2.8478e-18	1.6855	-0.3718	1.0	0.4153	4504.2532	0.6373	1.1309	1.7034	0.0004	3.51317912856	1.33724256293
rcs0327-B	SiIII1882	5090.0866	1882.707	EMISSION	-0.4789	0.2768	-0.6797	0.2676	4.3061e-18	2.4892e-18	-5.4558e-19	4.1117e-18	1.18	-0.3033	1.0	0.3889	5089.6913	0.5828	1.3283	1.7034	0.0003	4.73689416419	1.72991322513
rcs0327-B	SiIII1892	5115.2896	1892.029	EMISSION	-0.3329	0.2484	-0.3616	0.2738	2.9772e-18	2.2213e-18	4.4641e-18	4.5236e-18	-0.32871	-0.3115	1.0	0.3528	5115.0853	0.5746	1.0178	1.7035	0.0003	3.20609951846	1.34029622293
rcs0327-B	CIII]1906	5154.9082	1906.683	EMISSION	-1.5421	0.3188	-3.3379	0.2904	1.363e-17	2.8178e-18	8.0967e-19	3.4841e-18	3.6795	-0.3313	1.0	1.242	5154.5078	0.2077	1.3392	1.7034	0.0001	13.9640808935	4.83710696288
rcs0327-B	CIII]1908	5160.4532	1908.734	EMISSION	-1.5501	0.3513	-3.2922	0.2868	1.3673e-17	3.0989e-18	8.0967e-19	3.4841e-18	3.692	-0.3159	1.0	1.0546	5160.1588	0.2655	1.5853	1.7034	0.0001	14.7207977208	4.41221078447
rcs0327-B	NII]2140	5785.704	2140.0	EMISSION	-0.0	0.1625	0.5645	0.4064	5.409e-29	1.1044e-18	-2.3278e-18	3.7215e-18	0.62552	-0.4825	1.0	0.0	5785.2546	23251598075.0	0.8287	1.7034	10865232.7453	0.0	4.89768199928e-11
rcs0327-B	OIII2320	6276.8508	2321.664	EMISSION	-0.4747	0.7308	-0.8381	0.3709	2.9755e-18	4.5805e-18	1.3444e-18	5.0476e-18	0.32314	-0.4618	1.0	0.2695	6276.3632	3.3858	1.8999	1.7034	0.0015	3.08380251191	0.649601571881
rcs0327-B	CII2323	6283.745	2324.214	EMISSION	-1.3938	1650490.7633	-0.246	0.2692	8.6082e-18	1.0194e-11	1.3444e-18	5.0476e-18	1.4391	-0.433	1.0	1.6704	6284.2262	487689.9201	0.9	1.7038	209.83	9.65681293303	8.4443790465e-07
rcs0327-B	CII2325b	6286.9596	2325.403	EMISSION	-0.7837	57127193.3672	0.1139	0.2064	4.8401e-18	3.5282e-10	1.3444e-18	5.0476e-18	0.69254	-0.433	1.0	0.5242	6286.933	69084380.2964	1.6126	1.7036	29708.5625	5.42979214781	1.37183266255e-08
rcs0327-B	CII2325c	6288.8791	2326.113	EMISSION	-20.8746	589000822.28	0.0765	0.1584	1.2892e-16	3.6377e-09	1.3444e-18	5.0476e-18	25.275	-0.433	1.0	12.0507	6288.7417	37795285.8799	1.8684	1.7035	16248.2587	144.627713626	3.54399758089e-08
rcs0327-B	CII2325d	6293.021	2327.645	EMISSION	-0.1493	0.0	0.0	0.0	9.2212e-19	0.0	1.3444e-18	5.0476e-18	-0.083664	-0.433	1.0	0.0994	6293.021	1.25596613807e+13	1.6206	1.7036	5395866371.67	1.03441108545	inf
rcs0327-B	CII2328	6296.2464	2328.838	EMISSION	-0.0107	0.0	0.0	0.0	6.5779e-20	0.0	1.3444e-18	5.0476e-18	-0.25332	-0.433	1.0	0.007	6296.2396	0.0	1.6455	1.7036	0.0	0.0741339491917	inf
rcs0327-B	[OIII]2331	6302.362	2331.1	EMISSION	-0.0002	0.0	0.0	0.0	1.3779e-21	0.0	1.3444e-18	5.0476e-18	-0.26608	-0.433	1.0	0.0001	6302.3358	0.0	1.6236	1.7036	0.0	0.0013856812933	inf
