#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
# label:       shortlabel of the galaxy/knot
# line_lab:    label of the line the code was asked to fit
# obs_wav:     observed frame vacuum wavelength of the line (A)
# rest_wave:   rest frame vacuum wavelength of the line (A)
# type:        is it emission or ism etc.
# EWr_fit:     eqv width as calculated from the Gaussian fit to the line (A)
# EWr_fit_u:  error in above qty. (A)
# EWr_sum:     eqv width as calculated by summing the flux (A)
# EWr_sum_u:   error in above qty. (A)
# f_line:      flux i.e. area under Gaussian fit (erg/s/cm^2)
# f_line_u:    error in above qty. (erg/s/cm^2)
# EWr_Suplim:  3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using               Schneider et al. 1993 prescription
# EW_signi:    = 3*EWr_fit/EWr_Suplim. Probably use this for SIGNIFICANCE
# f_Suplim:    3sigma upper limit for unresolved OR detection criteria for resolved FLUXES following above prescription
# f_signi:     = 3*f_line/f_Suplim
# fit_cont:    continuum from the Gaussian fit (observed frame, continuum normalised fit, hence dimensionless)
# fit_f:       amplitude (i.e. height of Gaussian above the continuum) from the Gaussian fit (observed frame, continuum normalised fit, hence dimensionless)
# fit_cen:     center from the Gaussian fit (observed frame, continuum normalised fit, units=Angstrom)
# fit_cen_u:   error in above qty. (units of Angstrom)
# fit_sig:     linewidth of the Gaussian fit (observed frame, continuum normalised fit, units=Angstrom)
# zz:          Corrected redshift of this line, from the fitted center
# zz_u:        error in above qty.
# NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	EWr_Suplim	EW_signi	f_Suplim	f_signi	fit_cont	fit_f	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-E	OIII]1666	4504.2699	1666.15	EMISSION	-0.5165	0.1104	-0.5459	0.0776	8.7027e-18	1.8596e-18	-0.0921	16.829	5.738e-19	45.5	1.0	0.2912	4503.5701	0.3078	1.9128	1.70298	0.00018
rcs0327-E	SiIII1882	5089.7101	1882.707	EMISSION	-0.3272	0.0763	-0.3336	0.069	4.996e-18	1.1651e-18	-0.0808	12.143	4.5655e-19	32.829	1.0	0.2722	5089.5859	0.2287	1.2965	1.70333	0.00012
rcs0327-E	SiIII1892	5114.9112	1892.029	EMISSION	-0.4326	0.0941	-0.3798	0.0704	6.5702e-18	1.4297e-18	-0.0837	15.505	4.7022e-19	41.918	1.0	0.2446	5114.8417	0.313	1.908	1.70336	0.00017
rcs0327-E	CIII]1906	5154.5187	1906.68	EMISSION	-0.773	0.0694	-1.6724	0.0718	1.1648e-17	1.0454e-18	-0.086	26.974	4.7895e-19	72.956	1.0	0.8525	5153.7179	0.0661	0.9779	1.70298	3e-05
rcs0327-E	CIII]1908	5160.0607	1908.73	EMISSION	-1.2043	0.083	-1.752	0.0726	1.8103e-17	1.2481e-18	-0.0879	41.098	4.8881e-19	111.104	1.0	0.9376	5160.1355	0.0719	1.3853	1.70344	4e-05
rcs0327-E	OII2470mid	6680.1744	2471.027	EMISSION	-0.9861	0.101	-1.1889	0.0975	1.0037e-17	1.028e-18	-0.1175	25.175	4.4245e-19	68.059	1.0	0.7111	6680.1881	0.1155	1.4956	1.70341	5e-05
S0004-0103	OIII]1666	4467.1148	1666.15	EMISSION	-0.1376	0.0528	0.1825	0.0483	4.8542e-18	1.8636e-18	-0.0572	7.215	7.5278e-19	19.345	1.0	0.1005	4467.3054	0.426	1.4639	1.68121	0.00026
S0004-0103	SiIII1882	5047.7257	1882.707	EMISSION	-0.0055	0.0326	0.0474	0.0476	1.6578e-19	9.7861e-19	-0.0548	0.302	6.1425e-19	0.81	1.0	0.0088	5048.2905	2.9777	0.6674	1.6814	0.00158
S0004-0103	SiIII1892	5072.719	1892.029	EMISSION	-0.0	0.0205	0.1789	0.0465	1.9564e-26	6.094e-19	-0.0527	0.0	5.8508e-19	0.0	1.0	0.0	5073.2866	28699943.9749	0.6707	1.6814	15168.87108
S0004-0103	CIII]1906	5111.9997	1906.68	EMISSION	-0.2387	0.0509	-0.498	0.0486	7.0217e-18	1.4983e-18	-0.0556	12.889	6.0957e-19	34.557	1.0	0.1695	5111.7501	0.2397	1.5064	1.68097	0.00013
S0004-0103	CIII]1908	5117.496	1908.73	EMISSION	-0.2045	0.0517	-0.461	0.0479	6.0012e-18	1.5168e-18	-0.0559	10.973	6.1212e-19	29.412	1.0	0.143	5118.0686	0.2869	1.5295	1.6814	0.00015
S0004-0103	CII2325b	6234.638	2325.403	EMISSION	-0.1898	0.1447	-0.4671	0.0749	3.9542e-18	3.0142e-18	-0.0867	6.571	6.7311e-19	17.623	1.0	0.0865	6233.9404	2.0294	2.3475	1.6808	0.00087
S0004-0103	CII2325c	6236.5416	2326.113	EMISSION	-0.041	0.1047	-0.4597	0.0747	8.5185e-19	2.1764e-18	-0.1115	1.102	8.65e-19	2.954	1.0	0.0531	6237.2394	1.3018	0.8245	1.6814	0.00056
S0004-0103	CII2325d	6240.649	2327.645	EMISSION	-0.211	0.0859	-0.3885	0.0752	4.3779e-18	1.7836e-18	-0.085	7.447	6.5798e-19	19.96	1.0	0.164	6240.7754	0.4428	1.3761	1.68115	0.00019
