#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-B	CIII1247	3372.4166	1247.38	PHOTOSPHERE	0.0	0.395	-0.4876	0.9642	-5.503e-31	8.3117e-18	-9.3506e-18	1.9777e-17	-0.47279	1.1328	1.0	-0.0	3372.1546	0.0	0.483	1.7034	0.0	0.0	6.62078756452e-14
rcs0327-B	SiIII1294	3499.9183	1294.54	PHOTOSPHERE	0.0579	0.4775	-0.6717	0.6247	-1.1239e-18	9.271e-18	-1.9616e-18	1.5564e-17	-0.053825	0.7718	1.0	-0.1246	3500.1902	3.1805	0.5013	1.7038	0.0025	0.22505830526	0.121227483551
rcs0327-B	CIII1296	3504.7578	1296.33	PHOTOSPHERE	0.116	0.5502	-0.328	0.6341	-2.2392e-18	1.0623e-17	-1.9616e-18	1.5564e-17	0.017831	0.7413	1.0	-0.2492	3504.4856	1.9092	0.502	1.7034	0.0015	0.469445568596	0.210787913019
rcs0327-B	SiIII1296	3505.8663	1296.74	PHOTOSPHERE	0.0	0.3957	-0.4399	0.6287	-9.689e-33	7.6307e-18	-1.9616e-18	1.5564e-17	-0.12604	0.7238	1.0	-0.0	3505.5942	0.0	0.5021	1.7034	0.0	0.0	1.26973934239e-15
rcs0327-B	SiIII1298	3511.7871	1298.93	PHOTOSPHERE	0.6075	0.8426	0.2306	0.6376	-1.1624e-17	1.6123e-17	-1.9616e-18	1.5564e-17	0.62081	0.7442	1.0	-0.4393	3512.0599	1.5787	1.4913	1.7038	0.0012	2.4489384574	0.720957638157
rcs0327-B	CII1323	3579.3771	1323.93	PHOTOSPHERE	0.3351	0.9643	-0.15	0.5371	-5.8935e-18	1.6959e-17	-1.5244e-17	1.0262e-17	-0.91116	0.6222	1.0	-0.3995	3579.0991	2.8036	0.9047	1.7034	0.0021	1.61571841851	0.347514594021
rcs0327-B	NIII1324	3580.5127	1324.35	PHOTOSPHERE	0.0	0.7588	0.2217	0.5316	-5.6219e-29	1.3323e-17	-1.5244e-17	1.0262e-17	-1.4854	0.585	1.0	-0.0	3580.4444	59491000435.0	0.5132	1.7035	44920904.9232	0.0	4.21969526383e-12
rcs0327-B	SiIII1417	3831.6501	1417.24	PHOTOSPHERE	0.162	0.5777	0.333	0.4297	-2.3285e-18	8.3058e-18	-1.6852e-18	4.8708e-18	0.13207	0.5078	1.0	-0.1074	3831.9477	4.3888	1.6272	1.7038	0.0031	0.957069712485	0.280346264056
rcs0327-B	SV1501	4060.1583	1501.76	PHOTOSPHERE	0.1598	0.2739	0.1289	0.3654	-2.0325e-18	3.4827e-18	-8.274e-19	2.7693e-18	0.43515	0.4278	1.0	-0.2964	4059.8882	0.762	0.5815	1.7034	0.0005	1.1206171108	0.583598931863
rcs0327-B	CIII1620	4380.9134	1620.4	PHOTOSPHERE	0.3652	0.3957	0.278	0.3011	-4.0974e-18	4.44e-18	-3.4214e-18	6.1879e-18	0.10925	0.3434	1.0	-0.2117	4380.5732	1.5307	1.8604	1.7034	0.0009	3.19044845661	0.922837837838
